[runlim] version:		1.10
[runlim] sample:		1468.4 time, 1470.6 real, 20.8 MB
[runlim] sample:		1478.4 time, 1480.6 real, 20.8 MB
[runlim] sample:		1488.4 time, 1490.6 real, 21.1 MB
[runlim] sample:		1498.4 time, 1500.6 real, 21.1 MB
[runlim] sample:		1508.3 time, 1510.6 real, 21.1 MB
[runlim] sample:		1518.3 time, 1520.6 real, 21.1 MB
[runlim] sample:		1528.3 time, 1530.6 real, 21.1 MB
[runlim] sample:		1538.3 time, 1540.6 real, 21.4 MB
[runlim] sample:		1548.3 time, 1550.6 real, 21.4 MB
[runlim] sample:		1558.3 time, 1560.6 real, 21.4 MB
[runlim] sample:		1568.3 time, 1570.6 real, 21.4 MB
[runlim] sample:		1578.2 time, 1580.6 real, 21.4 MB
[runlim] sample:		1588.2 time, 1590.6 real, 21.6 MB
[runlim] sample:		1598.2 time, 1600.6 real, 21.6 MB
[runlim] sample:		1608.2 time, 1610.6 real, 21.6 MB
[runlim] sample:		1618.2 time, 1620.6 real, 21.6 MB
[runlim] sample:		1628.2 time, 1630.6 real, 21.6 MB
[runlim] sample:		1638.1 time, 1640.6 real, 21.9 MB
[runlim] sample:		1648.1 time, 1650.6 real, 21.9 MB
[runlim] sample:		1658.1 time, 1660.6 real, 21.9 MB
[runlim] sample:		1668.1 time, 1670.6 real, 21.9 MB
[runlim] sample:		1678.1 time, 1680.6 real, 21.9 MB
[runlim] sample:		1688.1 time, 1690.6 real, 22.1 MB
[runlim] sample:		1698.0 time, 1700.6 real, 22.1 MB
[runlim] sample:		1708.0 time, 1710.6 real, 22.1 MB
[runlim] sample:		1718.0 time, 1720.6 real, 22.1 MB
[runlim] sample:		1728.0 time, 1730.6 real, 22.1 MB
[runlim] sample:		1738.0 time, 1740.6 real, 22.1 MB
[runlim] sample:		1748.0 time, 1750.6 real, 22.4 MB
[runlim] sample:		1757.9 time, 1760.6 real, 22.4 MB
[runlim] sample:		1767.9 time, 1770.6 real, 22.4 MB
[runlim] sample:		1777.9 time, 1780.6 real, 22.4 MB
[runlim] sample:		1787.9 time, 1790.6 real, 22.4 MB
[runlim] sample:		1797.8 time, 1800.6 real, 22.6 MB
[runlim] sample:		1807.8 time, 1810.6 real, 22.6 MB
[runlim] sample:		1817.8 time, 1820.6 real, 22.6 MB
[runlim] sample:		1827.8 time, 1830.6 real, 22.6 MB
[runlim] sample:		1837.8 time, 1840.6 real, 22.6 MB
[runlim] sample:		1847.8 time, 1850.6 real, 22.6 MB
[runlim] sample:		1857.8 time, 1860.6 real, 22.9 MB
[runlim] sample:		1867.7 time, 1870.6 real, 22.9 MB
[runlim] sample:		1877.7 time, 1880.6 real, 22.9 MB
[runlim] sample:		1887.7 time, 1890.6 real, 22.9 MB
[runlim] sample:		1897.7 time, 1900.6 real, 22.9 MB
[runlim] sample:		1907.7 time, 1910.6 real, 23.2 MB
[runlim] sample:		1917.7 time, 1920.6 real, 23.2 MB
[runlim] sample:		1927.6 time, 1930.6 real, 23.2 MB
[runlim] sample:		1937.6 time, 1940.6 real, 23.2 MB
[runlim] sample:		1947.6 time, 1950.6 real, 23.2 MB
[runlim] sample:		1957.6 time, 1960.6 real, 23.2 MB
[runlim] sample:		1967.6 time, 1970.6 real, 23.4 MB
[runlim] sample:		1977.5 time, 1980.6 real, 23.4 MB
[runlim] sample:		1987.5 time, 1990.6 real, 23.4 MB
[runlim] sample:		1997.5 time, 2000.6 real, 23.4 MB
[runlim] sample:		2007.5 time, 2010.6 real, 23.4 MB
[runlim] sample:		2017.5 time, 2020.6 real, 23.4 MB
[runlim] sample:		2027.5 time, 2030.6 real, 23.7 MB
[runlim] sample:		2037.5 time, 2040.6 real, 23.7 MB
[runlim] sample:		2047.4 time, 2050.6 real, 23.7 MB
[runlim] sample:		2057.4 time, 2060.6 real, 23.7 MB
[runlim] sample:		2067.4 time, 2070.6 real, 23.7 MB
[runlim] sample:		2077.4 time, 2080.6 real, 23.7 MB
[runlim] sample:		2087.4 time, 2090.6 real, 23.9 MB
[runlim] sample:		2097.4 time, 2100.6 real, 23.9 MB
[runlim] sample:		2107.3 time, 2110.6 real, 23.9 MB
[runlim] sample:		2117.3 time, 2120.6 real, 23.9 MB
[runlim] sample:		2127.3 time, 2130.6 real, 23.9 MB
[runlim] sample:		2137.3 time, 2140.6 real, 23.9 MB
[runlim] sample:		2147.3 time, 2150.6 real, 24.2 MB
[runlim] sample:		2157.3 time, 2160.6 real, 24.2 MB
[runlim] sample:		2167.3 time, 2170.6 real, 24.2 MB
[runlim] sample:		2177.2 time, 2180.6 real, 24.2 MB
[runlim] sample:		2187.2 time, 2190.6 real, 24.2 MB
[runlim] sample:		2197.2 time, 2200.6 real, 24.2 MB
[runlim] sample:		2207.2 time, 2210.6 real, 24.4 MB
[runlim] sample:		2217.2 time, 2220.6 real, 24.4 MB
[runlim] sample:		2227.2 time, 2230.6 real, 24.4 MB
[runlim] sample:		2237.1 time, 2240.6 real, 24.4 MB
[runlim] sample:		2247.1 time, 2250.6 real, 24.4 MB
[runlim] sample:		2257.1 time, 2260.6 real, 24.4 MB
[runlim] sample:		2267.1 time, 2270.6 real, 24.7 MB
[runlim] sample:		2277.1 time, 2280.6 real, 24.7 MB
[runlim] sample:		2287.1 time, 2290.6 real, 24.7 MB
[runlim] sample:		2297.0 time, 2300.6 real, 24.7 MB
[runlim] sample:		2307.0 time, 2310.6 real, 24.7 MB
[runlim] sample:		2317.0 time, 2320.6 real, 24.7 MB
[runlim] sample:		2327.0 time, 2330.6 real, 25.0 MB
[runlim] sample:		2337.0 time, 2340.6 real, 25.0 MB
[runlim] sample:		2347.0 time, 2350.6 real, 25.0 MB
[runlim] sample:		2357.0 time, 2360.6 real, 25.0 MB
[runlim] sample:		2367.0 time, 2370.6 real, 25.0 MB
[runlim] sample:		2377.0 time, 2380.6 real, 25.0 MB
[runlim] sample:		2386.9 time, 2390.6 real, 25.2 MB
[runlim] sample:		2396.9 time, 2400.6 real, 25.2 MB
[runlim] sample:		2406.9 time, 2410.6 real, 25.2 MB
[runlim] sample:		2416.9 time, 2420.6 real, 25.2 MB
[runlim] sample:		2426.9 time, 2430.6 real, 25.2 MB
[runlim] sample:		2436.9 time, 2440.6 real, 25.2 MB
[runlim] sample:		2446.9 time, 2450.6 real, 25.2 MB
[runlim] sample:		2456.9 time, 2460.6 real, 25.5 MB
[runlim] sample:		2466.8 time, 2470.6 real, 25.5 MB
[runlim] sample:		2476.8 time, 2480.6 real, 25.5 MB
[runlim] sample:		2486.8 time, 2490.6 real, 25.5 MB
[runlim] sample:		2496.8 time, 2500.6 real, 25.5 MB
[runlim] sample:		2506.8 time, 2510.6 real, 25.5 MB
[runlim] sample:		2516.8 time, 2520.6 real, 25.7 MB
[runlim] sample:		2526.8 time, 2530.6 real, 25.7 MB
[runlim] sample:		2536.8 time, 2540.6 real, 25.7 MB
[runlim] sample:		2546.8 time, 2550.6 real, 25.7 MB
[runlim] sample:		2556.8 time, 2560.6 real, 25.7 MB
[runlim] sample:		2566.8 time, 2570.6 real, 25.7 MB
[runlim] sample:		2576.7 time, 2580.6 real, 25.7 MB
[runlim] sample:		2586.7 time, 2590.6 real, 26.0 MB
[runlim] sample:		2596.7 time, 2600.6 real, 26.0 MB
[runlim] sample:		2606.7 time, 2610.6 real, 26.0 MB
[runlim] sample:		2616.7 time, 2620.6 real, 26.0 MB
[runlim] sample:		2626.7 time, 2630.6 real, 26.0 MB
[runlim] sample:		2636.7 time, 2640.6 real, 26.0 MB
[runlim] sample:		2646.7 time, 2650.6 real, 26.3 MB
[runlim] sample:		2656.7 time, 2660.6 real, 26.3 MB
[runlim] sample:		2666.7 time, 2670.6 real, 26.3 MB
[runlim] sample:		2676.6 time, 2680.6 real, 26.3 MB
[runlim] sample:		2686.6 time, 2690.6 real, 26.3 MB
[runlim] sample:		2696.6 time, 2700.6 real, 26.3 MB
[runlim] sample:		2706.6 time, 2710.6 real, 26.3 MB
[runlim] sample:		2716.6 time, 2720.6 real, 26.5 MB
[runlim] sample:		2726.6 time, 2730.6 real, 26.5 MB
[runlim] sample:		2736.6 time, 2740.6 real, 26.5 MB
[runlim] sample:		2746.6 time, 2750.6 real, 26.5 MB
[runlim] sample:		2756.6 time, 2760.6 real, 26.5 MB
[runlim] sample:		2766.5 time, 2770.6 real, 26.5 MB
[runlim] sample:		2776.5 time, 2780.6 real, 26.5 MB
[runlim] sample:		2786.5 time, 2790.6 real, 26.8 MB
[runlim] sample:		2796.5 time, 2800.6 real, 26.8 MB
[runlim] sample:		2806.5 time, 2810.6 real, 26.8 MB
[runlim] sample:		2816.5 time, 2820.6 real, 26.8 MB
[runlim] sample:		2826.5 time, 2830.6 real, 26.8 MB
[runlim] sample:		2836.5 time, 2840.6 real, 26.8 MB
[runlim] sample:		2846.4 time, 2850.6 real, 26.8 MB
[runlim] sample:		2856.4 time, 2860.6 real, 27.0 MB
[runlim] sample:		2866.4 time, 2870.6 real, 27.0 MB
[runlim] sample:		2876.4 time, 2880.6 real, 27.0 MB
[runlim] sample:		2886.4 time, 2890.6 real, 27.0 MB
[runlim] sample:		2896.4 time, 2900.6 real, 27.0 MB
[runlim] sample:		2906.4 time, 2910.6 real, 27.0 MB
[runlim] sample:		2916.4 time, 2920.6 real, 27.3 MB
[runlim] sample:		2926.4 time, 2930.6 real, 27.3 MB
[runlim] sample:		2936.3 time, 2940.6 real, 27.3 MB
[runlim] sample:		2946.3 time, 2950.6 real, 27.3 MB
[runlim] sample:		2956.3 time, 2960.6 real, 27.3 MB
[runlim] sample:		2966.3 time, 2970.6 real, 27.3 MB
[runlim] sample:		2976.3 time, 2980.6 real, 27.3 MB
[runlim] sample:		2986.3 time, 2990.6 real, 27.5 MB
[runlim] sample:		2996.3 time, 3000.6 real, 27.5 MB
[runlim] sample:		3006.3 time, 3010.6 real, 27.5 MB
[runlim] sample:		3016.3 time, 3020.6 real, 27.5 MB
[runlim] sample:		3026.3 time, 3030.6 real, 27.5 MB
[runlim] sample:		3036.2 time, 3040.6 real, 27.5 MB
[runlim] sample:		3046.2 time, 3050.6 real, 27.5 MB
[runlim] sample:		3056.2 time, 3060.6 real, 27.5 MB
[runlim] sample:		3066.2 time, 3070.6 real, 27.8 MB
[runlim] sample:		3076.2 time, 3080.6 real, 27.8 MB
[runlim] sample:		3086.2 time, 3090.6 real, 27.8 MB
[runlim] sample:		3096.2 time, 3100.6 real, 27.8 MB
[runlim] sample:		3106.2 time, 3110.6 real, 27.8 MB
[runlim] sample:		3116.2 time, 3120.6 real, 27.8 MB
[runlim] sample:		3126.2 time, 3130.6 real, 27.8 MB
[runlim] sample:		3136.1 time, 3140.6 real, 28.1 MB
[runlim] sample:		3146.1 time, 3150.6 real, 28.1 MB
[runlim] sample:		3156.1 time, 3160.6 real, 28.1 MB
[runlim] sample:		3166.1 time, 3170.6 real, 28.1 MB
[runlim] sample:		3176.1 time, 3180.6 real, 28.1 MB
[runlim] sample:		3186.1 time, 3190.6 real, 28.1 MB
[runlim] sample:		3196.1 time, 3200.6 real, 28.1 MB
[runlim] sample:		3206.1 time, 3210.6 real, 28.3 MB
[runlim] sample:		3216.1 time, 3220.6 real, 28.3 MB
[runlim] sample:		3226.0 time, 3230.6 real, 28.3 MB
[runlim] sample:		3236.0 time, 3240.6 real, 28.3 MB
[runlim] sample:		3246.0 time, 3250.6 real, 28.3 MB
[runlim] sample:		3256.0 time, 3260.6 real, 28.3 MB
[runlim] sample:		3265.9 time, 3270.6 real, 28.3 MB
[runlim] sample:		3275.9 time, 3280.6 real, 28.3 MB
[runlim] sample:		3285.9 time, 3290.6 real, 28.6 MB
[runlim] sample:		3295.9 time, 3300.6 real, 28.6 MB
[runlim] sample:		3305.9 time, 3310.6 real, 28.6 MB
[runlim] sample:		3315.9 time, 3320.6 real, 28.6 MB
[runlim] sample:		3325.9 time, 3330.6 real, 28.6 MB
[runlim] sample:		3335.8 time, 3340.6 real, 28.6 MB
[runlim] sample:		3345.8 time, 3350.6 real, 28.6 MB
[runlim] sample:		3355.8 time, 3360.6 real, 28.8 MB
[runlim] sample:		3365.8 time, 3370.6 real, 28.8 MB
[runlim] sample:		3375.8 time, 3380.6 real, 28.8 MB
[runlim] sample:		3385.8 time, 3390.6 real, 28.8 MB
[runlim] sample:		3395.7 time, 3400.6 real, 28.8 MB
[runlim] sample:		3405.7 time, 3410.6 real, 28.8 MB
[runlim] sample:		3415.7 time, 3420.6 real, 28.8 MB
[runlim] sample:		3425.7 time, 3430.6 real, 28.8 MB
[runlim] sample:		3435.7 time, 3440.6 real, 29.1 MB
[runlim] sample:		3445.7 time, 3450.6 real, 29.1 MB
[runlim] sample:		3455.6 time, 3460.6 real, 29.1 MB
[runlim] sample:		3465.6 time, 3470.6 real, 29.1 MB
