[runlim] version:		1.10
[runlim] sample:		1388.3 time, 1390.4 real, 19.9 MB
[runlim] sample:		1398.3 time, 1400.4 real, 19.9 MB
[runlim] sample:		1408.3 time, 1410.4 real, 20.2 MB
[runlim] sample:		1418.3 time, 1420.4 real, 20.2 MB
[runlim] sample:		1428.3 time, 1430.4 real, 20.2 MB
[runlim] sample:		1438.3 time, 1440.4 real, 20.2 MB
[runlim] sample:		1448.3 time, 1450.4 real, 20.2 MB
[runlim] sample:		1458.3 time, 1460.4 real, 20.4 MB
[runlim] sample:		1468.3 time, 1470.4 real, 20.4 MB
[runlim] sample:		1478.3 time, 1480.4 real, 20.4 MB
[runlim] sample:		1488.2 time, 1490.4 real, 20.4 MB
[runlim] sample:		1498.2 time, 1500.4 real, 20.4 MB
[runlim] sample:		1508.2 time, 1510.4 real, 20.7 MB
[runlim] sample:		1518.2 time, 1520.4 real, 20.7 MB
[runlim] sample:		1528.2 time, 1530.4 real, 20.7 MB
[runlim] sample:		1538.2 time, 1540.4 real, 20.7 MB
[runlim] sample:		1548.2 time, 1550.4 real, 20.7 MB
[runlim] sample:		1558.2 time, 1560.4 real, 21.0 MB
[runlim] sample:		1568.2 time, 1570.4 real, 21.0 MB
[runlim] sample:		1578.2 time, 1580.4 real, 21.0 MB
[runlim] sample:		1588.1 time, 1590.4 real, 21.0 MB
[runlim] sample:		1598.1 time, 1600.4 real, 21.0 MB
[runlim] sample:		1608.1 time, 1610.4 real, 21.2 MB
[runlim] sample:		1618.1 time, 1620.4 real, 21.2 MB
[runlim] sample:		1628.1 time, 1630.4 real, 21.2 MB
[runlim] sample:		1638.1 time, 1640.4 real, 21.2 MB
[runlim] sample:		1648.1 time, 1650.4 real, 21.2 MB
[runlim] sample:		1658.0 time, 1660.4 real, 21.5 MB
[runlim] sample:		1668.0 time, 1670.4 real, 21.5 MB
[runlim] sample:		1678.0 time, 1680.4 real, 21.5 MB
[runlim] sample:		1688.0 time, 1690.4 real, 21.5 MB
[runlim] sample:		1698.0 time, 1700.4 real, 21.5 MB
[runlim] sample:		1708.0 time, 1710.4 real, 21.7 MB
[runlim] sample:		1718.0 time, 1720.4 real, 21.7 MB
[runlim] sample:		1728.0 time, 1730.4 real, 21.7 MB
[runlim] sample:		1738.0 time, 1740.4 real, 21.7 MB
[runlim] sample:		1748.0 time, 1750.4 real, 21.7 MB
[runlim] sample:		1758.0 time, 1760.4 real, 21.7 MB
[runlim] sample:		1768.0 time, 1770.4 real, 22.0 MB
[runlim] sample:		1777.9 time, 1780.4 real, 22.0 MB
[runlim] sample:		1787.9 time, 1790.4 real, 22.0 MB
[runlim] sample:		1797.9 time, 1800.4 real, 22.0 MB
[runlim] sample:		1807.9 time, 1810.4 real, 22.0 MB
[runlim] sample:		1817.9 time, 1820.4 real, 22.2 MB
[runlim] sample:		1827.9 time, 1830.4 real, 22.2 MB
[runlim] sample:		1837.8 time, 1840.4 real, 22.2 MB
[runlim] sample:		1847.8 time, 1850.4 real, 22.2 MB
[runlim] sample:		1857.8 time, 1860.4 real, 22.2 MB
[runlim] sample:		1867.8 time, 1870.4 real, 22.2 MB
[runlim] sample:		1877.8 time, 1880.4 real, 22.5 MB
[runlim] sample:		1887.8 time, 1890.4 real, 22.5 MB
[runlim] sample:		1897.8 time, 1900.4 real, 22.5 MB
[runlim] sample:		1907.8 time, 1910.4 real, 22.5 MB
[runlim] sample:		1917.8 time, 1920.4 real, 22.5 MB
[runlim] sample:		1927.8 time, 1930.4 real, 22.8 MB
[runlim] sample:		1937.8 time, 1940.4 real, 22.8 MB
[runlim] sample:		1947.7 time, 1950.4 real, 22.8 MB
[runlim] sample:		1957.7 time, 1960.4 real, 22.8 MB
[runlim] sample:		1967.7 time, 1970.4 real, 22.8 MB
[runlim] sample:		1977.7 time, 1980.4 real, 22.8 MB
[runlim] sample:		1987.7 time, 1990.4 real, 23.0 MB
[runlim] sample:		1997.7 time, 2000.4 real, 23.0 MB
[runlim] sample:		2007.7 time, 2010.4 real, 23.0 MB
[runlim] sample:		2017.7 time, 2020.4 real, 23.0 MB
[runlim] sample:		2027.7 time, 2030.4 real, 23.0 MB
[runlim] sample:		2037.7 time, 2040.4 real, 23.0 MB
[runlim] sample:		2047.6 time, 2050.4 real, 23.3 MB
[runlim] sample:		2057.6 time, 2060.4 real, 23.3 MB
[runlim] sample:		2067.6 time, 2070.4 real, 23.3 MB
[runlim] sample:		2077.6 time, 2080.4 real, 23.3 MB
[runlim] sample:		2087.6 time, 2090.4 real, 23.3 MB
[runlim] sample:		2097.6 time, 2100.4 real, 23.5 MB
