[runlim] version:		1.10
[runlim] sample:		3695.8 time, 3700.7 real, 29.7 MB
[runlim] sample:		3705.8 time, 3710.7 real, 29.7 MB
[runlim] sample:		3715.8 time, 3720.7 real, 29.7 MB
[runlim] sample:		3725.8 time, 3730.7 real, 29.7 MB
[runlim] sample:		3735.8 time, 3740.7 real, 29.7 MB
[runlim] sample:		3745.8 time, 3750.7 real, 29.7 MB
[runlim] sample:		3755.8 time, 3760.7 real, 30.0 MB
[runlim] sample:		3765.8 time, 3770.7 real, 30.0 MB
[runlim] sample:		3775.8 time, 3780.7 real, 30.0 MB
[runlim] sample:		3785.7 time, 3790.7 real, 30.0 MB
[runlim] sample:		3795.7 time, 3800.7 real, 30.0 MB
[runlim] sample:		3805.7 time, 3810.7 real, 30.0 MB
[runlim] sample:		3815.7 time, 3820.7 real, 30.0 MB
[runlim] sample:		3825.7 time, 3830.7 real, 30.0 MB
[runlim] sample:		3835.7 time, 3840.7 real, 30.2 MB
[runlim] sample:		3845.7 time, 3850.7 real, 30.2 MB
[runlim] sample:		3855.7 time, 3860.7 real, 30.2 MB
[runlim] sample:		3865.7 time, 3870.7 real, 30.2 MB
[runlim] sample:		3875.7 time, 3880.7 real, 30.2 MB
[runlim] sample:		3885.6 time, 3890.7 real, 30.2 MB
[runlim] sample:		3895.6 time, 3900.7 real, 30.2 MB
[runlim] sample:		3905.6 time, 3910.7 real, 30.2 MB
[runlim] sample:		3915.6 time, 3920.7 real, 30.5 MB
[runlim] sample:		3925.6 time, 3930.7 real, 30.5 MB
[runlim] sample:		3935.6 time, 3940.7 real, 30.5 MB
[runlim] sample:		3945.6 time, 3950.7 real, 30.5 MB
[runlim] sample:		3955.6 time, 3960.7 real, 30.5 MB
[runlim] sample:		3965.6 time, 3970.7 real, 30.5 MB
[runlim] sample:		3975.6 time, 3980.7 real, 30.5 MB
[runlim] sample:		3985.5 time, 3990.7 real, 30.5 MB
[runlim] sample:		3995.5 time, 4000.7 real, 30.8 MB
[runlim] sample:		4005.5 time, 4010.7 real, 30.8 MB
[runlim] sample:		4015.5 time, 4020.7 real, 30.8 MB
[runlim] sample:		4025.5 time, 4030.7 real, 30.8 MB
[runlim] sample:		4035.5 time, 4040.7 real, 30.8 MB
[runlim] sample:		4045.5 time, 4050.7 real, 30.8 MB
[runlim] sample:		4055.5 time, 4060.7 real, 30.8 MB
[runlim] sample:		4065.4 time, 4070.7 real, 30.8 MB
[runlim] sample:		4075.4 time, 4080.7 real, 30.8 MB
[runlim] sample:		4085.4 time, 4090.7 real, 31.0 MB
[runlim] sample:		4095.4 time, 4100.7 real, 31.0 MB
[runlim] sample:		4105.4 time, 4110.7 real, 31.0 MB
[runlim] sample:		4115.4 time, 4120.7 real, 31.0 MB
[runlim] sample:		4125.4 time, 4130.7 real, 31.0 MB
[runlim] sample:		4135.4 time, 4140.7 real, 31.0 MB
[runlim] sample:		4145.4 time, 4150.7 real, 31.0 MB
[runlim] sample:		4155.4 time, 4160.7 real, 31.0 MB
[runlim] sample:		4165.3 time, 4170.7 real, 31.3 MB
[runlim] sample:		4175.3 time, 4180.7 real, 31.3 MB
[runlim] sample:		4185.3 time, 4190.7 real, 31.3 MB
[runlim] sample:		4195.3 time, 4200.7 real, 31.3 MB
[runlim] sample:		4205.3 time, 4210.7 real, 31.3 MB
[runlim] sample:		4215.3 time, 4220.7 real, 31.3 MB
[runlim] sample:		4225.3 time, 4230.7 real, 31.3 MB
[runlim] sample:		4235.3 time, 4240.7 real, 31.3 MB
[runlim] sample:		4245.3 time, 4250.7 real, 31.3 MB
[runlim] sample:		4255.2 time, 4260.7 real, 31.5 MB
[runlim] sample:		4265.2 time, 4270.7 real, 31.5 MB
[runlim] sample:		4275.2 time, 4280.7 real, 31.5 MB
[runlim] sample:		4285.2 time, 4290.7 real, 31.5 MB
[runlim] sample:		4295.2 time, 4300.7 real, 31.5 MB
[runlim] sample:		4305.2 time, 4310.7 real, 31.5 MB
[runlim] sample:		4315.2 time, 4320.7 real, 31.5 MB
[runlim] sample:		4325.2 time, 4330.7 real, 31.5 MB
[runlim] sample:		4335.2 time, 4340.7 real, 31.8 MB
[runlim] sample:		4345.1 time, 4350.7 real, 31.8 MB
[runlim] sample:		4355.1 time, 4360.7 real, 31.8 MB
[runlim] sample:		4365.1 time, 4370.7 real, 31.8 MB
[runlim] sample:		4375.1 time, 4380.7 real, 31.8 MB
